P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
714.0000 285.6379 1.2417 0 0
713.0000 285.6096 1.1548 0 0
712.0000 285.5500 1.1059 0 0
711.0000 285.5297 1.0468 0 0
710.0000 285.5016 0.9903 0 0
709.0000 285.5013 0.9343 0 0
708.0000 285.4858 0.8910 0 0
707.0000 285.4446 0.8853 0 0
706.0000 285.3663 0.8597 0 0
705.0000 285.3582 0.8560 0 0
704.0000 285.3095 0.8344 0 0
703.0000 285.2462 0.8322 0 0
702.0000 285.1613 0.8288 0 0
701.0000 285.0645 0.8248 0 0
700.0000 284.9632 0.8179 0 0
699.0000 284.8900 0.8085 0 0
698.0000 284.7867 0.7936 0 0
697.0000 284.7132 0.7684 0 0
696.0000 284.6257 0.7599 0 0
695.0000 284.5297 0.7560 0 0
694.0000 284.4504 0.7341 0 0
693.0000 284.3514 0.7263 0 0
692.0000 284.2637 0.7232 0 0
691.0000 284.1979 0.7095 0 0
690.0000 284.1073 0.6948 0 0
689.0000 284.0217 0.6919 0 0
688.0000 283.9378 0.6777 0 0
687.0000 283.8715 0.6775 0 0
686.0000 283.7843 0.6826 0 0
685.0000 283.6968 0.6963 0 0
684.0000 283.6131 0.7012 0 0
683.0000 283.5352 0.7212 0 0
682.0000 283.4989 0.7431 0 0
681.0000 283.4236 0.7538 0 0
680.0000 283.3710 0.7716 0 0
679.0000 283.3506 0.7840 0 0
678.0000 283.2874 0.8042 0 0
677.0000 283.2641 0.8753 0 0
676.0000 283.2900 0.8429 0 0
675.0000 283.2900 0.8382 0 0
674.0000 283.2894 0.8542 0 0
673.0000 283.2768 0.9079 0 0
672.0000 283.2833 0.9013 0 0
671.0000 283.2503 0.9344 0 0
670.0000 283.2663 1.0692 0 0
669.0000 283.1941 0.9945 0 0
668.0000 283.1370 1.0664 0 0
667.0000 282.9692 1.1085 0 0
666.0000 282.8745 1.2249 0 0
665.0000 282.7934 1.3697 0 0
664.0000 282.7500 1.3322 0 0
663.0000 282.6451 1.4070 0 0
662.0000 282.5400 1.6413 0 0
661.0000 282.4819 1.6299 0 0
660.0000 282.4116 1.9567 0 0
659.0000 282.2895 1.6992 0 0
658.0000 282.1858 1.6039 0 0
657.0000 282.1852 1.5584 0 0
656.0000 282.1571 1.5186 0 0
655.0000 282.1237 1.4779 0 0
654.0000 281.9971 1.4444 0 0
653.0000 281.8589 1.3809 0 0
652.0000 281.8387 1.2450 0 0
651.0000 281.8334 1.0851 0 0
650.0000 281.7849 0.9629 0 0
649.0000 281.6792 0.8938 0 0
648.0000 281.5123 0.9224 0 0
647.0000 281.3428 0.8544 0 0
646.0000 281.1768 0.8715 0 0
645.0000 281.0661 0.9163 0 0
644.0000 281.0221 0.9415 0 0
643.0000 281.0058 1.0069 0 0
642.0000 280.9887 0.9760 0 0
641.0000 280.9893 1.0041 0 0
640.0000 280.9160 1.0014 0 0
639.0000 280.8412 1.0548 0 0
638.0000 280.6924 1.0684 0 0
637.0000 280.5672 1.0799 0 0
636.0000 280.5106 1.0898 0 0
635.0000 280.4338 1.2447 0 0
634.0000 280.3906 1.5264 0 0
633.0000 280.4203 1.9197 0 0
632.0000 280.3886 2.2624 0 0
631.0000 280.3907 2.6381 0 0
630.0000 280.3201 2.8009 0 0
629.0000 280.2401 3.1821 0 0
628.0000 280.0929 3.4420 0 0
627.0000 280.0547 3.5684 0 0
626.0000 279.8986 3.6849 0 0
625.0000 279.7561 3.8086 0 0
624.0000 279.6019 4.0238 0 0
623.0000 279.5163 4.4645 0 0
622.0000 279.4620 4.8643 0 0
621.0000 279.4100 5.1504 0 0
620.0000 279.3119 5.1346 0 0
619.0000 279.1707 5.1829 0 0
618.0000 278.9905 5.1911 0 0
617.0000 278.8015 5.2321 0 0
616.0000 278.6617 5.2416 0 0
615.0000 278.5716 5.2658 0 0
614.0000 278.4376 5.2639 0 0
613.0000 278.2582 5.2542 0 0
612.0000 278.1216 5.2680 0 0
611.0000 277.8891 5.2360 0 0
610.0000 277.7110 5.2280 0 0
609.0000 277.5441 5.2423 0 0
608.0000 277.4010 5.2546 0 0
607.0000 277.2483 5.2628 0 0
606.0000 277.0939 5.2603 0 0
605.0000 276.9553 5.2489 0 0
604.0000 276.7910 5.2571 0 0
603.0000 276.6225 5.2477 0 0
602.0000 276.4622 5.2405 0 0
601.0000 276.2955 5.2262 0 0
600.0000 276.1455 5.1964 0 0
599.0000 275.9778 5.1798 0 0
598.0000 275.8732 5.1859 0 0
597.0000 275.7400 5.1738 0 0
596.0000 275.6739 5.1725 0 0
595.0000 275.6672 5.2294 0 0
594.0000 275.5367 5.1409 0 0
593.0000 275.4596 5.0995 0 0
592.0000 275.4321 5.0984 0 0
591.0000 275.3245 5.0989 0 0
590.0000 275.3388 5.1084 0 0
589.0000 275.3593 5.1029 0 0
588.0000 275.4104 5.1316 0 0
587.0000 275.3876 5.1513 0 0
586.0000 275.4238 5.0716 0 0
585.0000 275.4566 5.0678 0 0
584.0000 275.3772 5.0242 0 0
583.0000 275.1562 4.9578 0 0
582.0000 275.0260 4.8763 0 0
581.0000 274.9000 4.8456 0 0
580.0000 274.8124 4.8519 0 0
579.0000 274.6693 4.8426 0 0
578.0000 274.5800 4.8191 0 0
577.0000 274.4947 4.8014 0 0
576.0000 274.3365 4.7809 0 0
575.0000 274.2200 4.7777 0 0
574.0000 274.1232 4.7986 0 0
573.0000 273.9786 4.8016 0 0
572.0000 273.8227 4.7021 0 0
571.0000 273.6100 4.6474 0 0
570.0000 273.4500 4.6171 0 0
