P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
697.0000 282.4519 0.8512 0 0
696.0000 282.3866 0.8362 0 0
695.0000 282.2578 0.8400 0 0
694.0000 282.2253 0.8149 0 0
693.0000 282.0538 0.8034 0 0
692.0000 282.0700 0.7928 0 0
691.0000 281.8973 0.7794 0 0
690.0000 281.7997 0.7688 0 0
689.0000 281.7762 0.7651 0 0
688.0000 281.6383 0.7493 0 0
687.0000 281.5235 0.7500 0 0
686.0000 281.4799 0.7527 0 0
685.0000 281.4299 0.7571 0 0
684.0000 281.2940 0.7468 0 0
683.0000 281.2255 0.7671 0 0
682.0000 281.1502 0.7827 0 0
681.0000 281.0730 0.7775 0 0
680.0000 281.0171 0.7955 0 0
679.0000 280.9979 0.8026 0 0
678.0000 280.9464 0.8180 0 0
677.0000 280.9206 0.8774 0 0
676.0000 280.9290 0.8450 0 0
675.0000 280.9933 0.8333 0 0
674.0000 280.8607 0.8457 0 0
673.0000 280.9153 0.8849 0 0
672.0000 280.8775 0.8787 0 0
671.0000 280.9585 0.8999 0 0
670.0000 280.8115 1.0155 0 0
669.0000 280.7914 0.9513 0 0
668.0000 280.6981 1.0095 0 0
667.0000 280.5545 1.0402 0 0
666.0000 280.5138 1.1310 0 0
665.0000 280.3654 1.2640 0 0
664.0000 280.4508 1.2233 0 0
663.0000 280.2490 1.2776 0 0
662.0000 280.1468 1.4899 0 0
661.0000 280.0573 1.4776 0 0
660.0000 279.9796 1.7621 0 0
659.0000 279.9193 1.5311 0 0
658.0000 279.8050 1.4359 0 0
657.0000 279.8039 1.4002 0 0
656.0000 279.7596 1.3552 0 0
655.0000 279.7206 1.3236 0 0
654.0000 279.5487 1.2929 0 0
653.0000 279.4623 1.2364 0 0
652.0000 279.3394 1.1079 0 0
651.0000 279.3673 0.9693 0 0
650.0000 279.3458 0.8622 0 0
649.0000 279.1657 0.7920 0 0
648.0000 279.0245 0.8211 0 0
647.0000 278.8627 0.7599 0 0
646.0000 278.6883 0.7707 0 0
645.0000 278.6106 0.8027 0 0
644.0000 278.5299 0.8261 0 0
643.0000 278.5219 0.8806 0 0
642.0000 278.5399 0.8477 0 0
641.0000 278.4201 0.8727 0 0
640.0000 278.4800 0.8666 0 0
639.0000 278.3027 0.9138 0 0
638.0000 278.2102 0.9264 0 0
637.0000 278.0714 0.9249 0 0
636.0000 278.0176 0.9329 0 0
635.0000 277.9010 1.0662 0 0
634.0000 278.0122 1.3007 0 0
633.0000 278.0909 1.6341 0 0
632.0000 277.9666 1.9308 0 0
631.0000 277.9751 2.2485 0 0
630.0000 277.9139 2.3796 0 0
629.0000 277.8326 2.7094 0 0
628.0000 277.7093 2.9311 0 0
627.0000 277.6654 3.0390 0 0
626.0000 277.5384 3.1135 0 0
625.0000 277.3939 3.2407 0 0
624.0000 277.3229 3.4017 0 0
623.0000 277.2624 3.7872 0 0
622.0000 277.2299 4.1247 0 0
621.0000 277.0795 4.3741 0 0
620.0000 277.1454 4.3498 0 0
619.0000 276.8852 4.3732 0 0
618.0000 276.6645 4.3888 0 0
617.0000 276.5360 4.4104 0 0
616.0000 276.4805 4.4104 0 0
615.0000 276.3843 4.4305 0 0
614.0000 276.2918 4.4263 0 0
613.0000 276.0174 4.3981 0 0
612.0000 275.7821 4.4206 0 0
611.0000 275.6740 4.3736 0 0
610.0000 275.5477 4.3631 0 0
609.0000 275.2643 4.3716 0 0
608.0000 275.2289 4.3700 0 0
607.0000 274.9694 4.3781 0 0
606.0000 274.9376 4.3661 0 0
605.0000 274.6938 4.3499 0 0
604.0000 274.6007 4.3536 0 0
603.0000 274.4676 4.3276 0 0
602.0000 274.2154 4.3199 0 0
601.0000 274.0836 4.3005 0 0
600.0000 273.9568 4.2661 0 0
599.0000 273.8332 4.2381 0 0
598.0000 273.6581 4.2464 0 0
597.0000 273.6713 4.2249 0 0
596.0000 273.5272 4.2198 0 0
595.0000 273.3840 4.2702 0 0
594.0000 273.4268 4.1888 0 0
593.0000 273.3092 4.1463 0 0
592.0000 273.1499 4.1285 0 0
591.0000 273.0331 4.1365 0 0
590.0000 273.1953 4.1330 0 0
589.0000 273.1207 4.1314 0 0
588.0000 273.0911 4.1631 0 0
587.0000 273.2068 4.1671 0 0
586.0000 273.2115 4.0979 0 0
585.0000 273.1455 4.0952 0 0
584.0000 273.0884 4.0553 0 0
583.0000 272.8919 3.9842 0 0
582.0000 272.7332 3.9124 0 0
581.0000 272.7079 3.8735 0 0
580.0000 272.4347 3.8825 0 0
579.0000 272.4427 3.8515 0 0
578.0000 272.3051 3.8330 0 0
577.0000 272.2187 3.8232 0 0
576.0000 272.0613 3.7937 0 0
575.0000 271.9442 3.7889 0 0
574.0000 271.8597 3.7967 0 0
573.0000 271.7213 3.7890 0 0
572.0000 271.5075 3.7017 0 0
571.0000 271.3099 3.6452 0 0
570.0000 271.1460 3.6127 0 0
569.0000 271.1166 3.5962 0 0
568.0000 270.8832 3.5418 0 0
567.0000 270.6651 3.4832 0 0
566.0000 270.5807 3.4617 0 0
565.0000 270.4150 3.3937 0 0
564.0000 270.2259 3.3511 0 0
563.0000 270.1459 3.2909 0 0
562.0000 270.1041 3.2669 0 0
561.0000 269.9402 3.2248 0 0
560.0000 269.9301 3.2207 0 0
559.0000 270.0706 3.2279 0 0
